director,nationality
Frank Darabont,France
Francis Ford Coppola,USA
Christopher Nolan,UK
Francis Ford Coppola,USA
Sidney Lumet,USA
Steven Spielberg,USA
Peter Jackson,New Zealand
Quentin Tarantino,USA
Peter Jackson,New Zealand
Sergio Leone,Italy
Robert Zemeckis,USA
David Fincher,USA
Peter Jackson,New Zealand
Christopher Nolan,UK
Irvin Kershner,USA
Lana Wachowski,USA
Martin Scorsese,USA
Milos Forman,Czechia
David Fincher,USA
Akira Kurosawa,Japan
Frank Capra,Italy
Jonathan Demme,USA
Fernando Meirelles,Brazil
Steven Spielberg,USA
Christopher Nolan,UK
Roberto Benigni,Italy
Frank Darabont,France
George Lucas,USA
James Cameron,Canada
Robert Zemeckis,USA
Hayao Miyazaki,Japan
Roman Polanski,France
Alfred Hitchcock,UK
Bong Joon Ho,"Korea, Republic of"
Luc Besson,France
Roger Allers,USA
Ridley Scott,UK
Tony Kaye,UK
Martin Scorsese,USA
Bryan Singer,USA
Christopher Nolan,UK
Damien Chazelle,USA
Michael Curtiz,Hungary
Isao Takahata,Japan
Masaki Kobayashi,Japan
Olivier Nakache,France
Charles Chaplin,UK
Sergio Leone,Italy
Alfred Hitchcock,UK
Giuseppe Tornatore,Italy
Ridley Scott,UK
Charles Chaplin,UK
Francis Ford Coppola,USA
Christopher Nolan,UK
Quentin Tarantino,USA
Steven Spielberg,USA
Andrew Stanton,USA
Florian Henckel von Donnersmarck,Germany
Billy Wilder,Poland
Stanley Kubrick,USA
Stanley Kubrick,USA
Charles Chaplin,UK
Anthony Russo,USA
Billy Wilder,Poland
James Cameron,Canada
Bob Persichetti,NA
Sam Mendes,UK
Stanley Kubrick,USA
Christopher Nolan,UK
Park Chan-wook,"Korea, Republic of"
Quentin Tarantino,USA
Milos Forman,Czechia
Lee Unkrich,USA
John Lasseter,USA
Todd Phillips,USA
Mel Gibson,USA
Wolfgang Petersen,Germany
Anthony Russo,USA
Hayao Miyazaki,Japan
Sergio Leone,Italy
Gus Van Sant,USA
Makoto Shinkai,Japan
Rajkumar HIran (Islamic Republic of)i,India
Stanley Donen,USA
Darren Aronofsky,USA
Lee Unkrich,USA
Akira Kurosawa,Japan
Nadine Labaki,Lebanon
Richard Marquand,UK
Michel Gondry,France
Stanley Kubrick,USA
Quentin Tarantino,USA
Elem Klimov,Russian Federation
Thomas Szczepanski,NA
Orson Welles,USA
Fritz Lang,Austria
David Lean,UK
Alfred Hitchcock,UK
Alfred Hitchcock,UK
Akira Kurosawa,Japan
Jean-Pierre Jeunet,France
Billy Wilder,Poland
Stanley Kubrick,USA
Billy Wilder,Poland
Stanley Kubrick,USA
Joseph Kosinski,USA
Brian De Palma,USA
Thomas Kail,NA
Denis Villeneuve,Canada
Robert Mulligan,USA
Michael Mann,USA
George Roy Hill,USA
Pete Docter,USA
Asghar Farhadi,Iran (Islamic Republic of)
Fritz Lang,Austria
Martin Scorsese,USA
Curtis Hanson,USA
John McTiernan,USA
Guy Ritchie,UK
Steven Spielberg,USA
Vittorio De Sica,Italy
Aamir Khan,India
Sam Mendes,UK
Oliver Hirschbiegel,Germany
Nitesh Tiwari,India
Sergio Leone,Italy
Christopher Nolan,UK
Charles Chaplin,UK
Billy Wilder,Poland
Florian Zeller,France
Joseph L. Mankiewicz,USA
Martin Scorsese,USA
Peter Farrelly,USA
Stanley Kramer,USA
Martin Scorsese,USA
Akira Kurosawa,Japan
Guillermo del Toro,Mexico
Peter Weir,Australia
Paul Thomas Anderson,USA
Clint Eastwood,USA
M. Night Shyamalan,India
Martin Scorsese,USA
Ron Howard,USA
Steven Spielberg,USA
Akira Kurosawa,Japan
John Huston,USA
Terry Gilliam,USA
John Sturges,USA
Ethan Coen,USA
Jon Watts,USA
Quentin Tarantino,USA
Akira Kurosawa,Japan
John Carpenter,USA
Andrew Stanton,USA
David Lynch,USA
Roman Polanski,France
Martin Scorsese,USA
James McTeigue,NA
Victor Fleming,USA
Guy Ritchie,UK
Pete Docter,USA
Alfred Hitchcock,UK
Juan José Campanella,Argentina
Hayao Miyazaki,Japan
Martin McDonagh,UK
David Lean,UK
Danny Boyle,UK
Denis Villeneuve,Canada
Gavin O'Connor,USA
Joel Coen,USA
Clint Eastwood,USA
Hayao Miyazaki,Japan
Steven Spielberg,USA
Clint Eastwood,USA
Majid Majidi,Iran (Islamic Republic of)
Ridley Scott,UK
Charles Chaplin,UK
Richard Linklater,USA
Steve McQueen,UK
Sergio Pablos,NA
David Yates,UK
Elia Kazan,Türkiye
William Wyler,France
David Fincher,USA
Wes Anderson,USA
Ingmar Bergman,Sweden
Clyde Bruckman,USA
Carol Reed,UK
Jim Sheridan,Ireland
Michael Cimino,USA
Stanley Kubrick,USA
Mel Gibson,USA
Henri-Georges Clouzot,France
Bong Joon Ho,"Korea, Republic of"
Buster Keaton,USA
Damián Szifron,Argentina
Frank Capra,Italy
George Miller,Australia
Ingmar Bergman,Sweden
Adam Elliot,Australia
Dean DeBlois,Canada
Lenny Abrahamson,Ireland
Pete Docter,USA
Steven Spielberg,USA
Peter Weir,NA
Joel Coen,USA
Yasujirô Ozu,Japan
Carl Theodor Dreyer,Denmark
Terry George,UK
James Mangold,USA
John G. Avildsen,USA
Oliver Stone,USA
Brad Bird,USA
Tom McCarthy,USA
James Cameron,Canada
James Mangold,USA
Rob Reiner,USA
Ron Howard,USA
Sidney Lumet,USA
Sean Penn,USA
Richard Linklater,USA
Victor Fleming,USA
Satyajit Ray,India
Harold Ramis,USA
William Wyler,France
William Friedkin,USA
Brad Bird,USA
Ernst Lubitsch,Germany
Mathieu Kassovitz,France
Gillo Pontecorvo,Italy
Gore Verbinski,USA
Lasse Hallström,Sweden
John Ford,USA
T.J. Gnanavel,India
Çagan Irmak,Türkiye
Alejandro G. Iñárritu,Mexico
Alfred Hitchcock,UK
Stuart Rosenberg,USA
Park Chan-wook,"Korea, Republic of"
François Truffaut,France
Robert Wise,USA
Frank Capra,Italy
Ingmar Bergman,Sweden
Terry Jones,UK
Brad Bird,USA
Tate Taylor,NA
Akira Kurosawa,Japan
Ron Clements,USA
Richard Attenborough,UK
Kevin Costner,USA
